city_name,country_code,lat,lon,state_code,timezone,aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
Milan,IT,45.464,9.188,9,Europe/Rome,49,54.9,2024-09-06:15,2.0,107.0,13.0,9.0,3.0,2024-09-06T17:00:00,2024-09-06T15:00:00,1725634800
Milan,IT,45.464,9.188,9,Europe/Rome,49,55.1,2024-09-06:14,2.0,105.3,12.7,8.67,3.3,2024-09-06T16:00:00,2024-09-06T14:00:00,1725631200
Milan,IT,45.464,9.188,9,Europe/Rome,48,55.2,2024-09-06:13,2.0,103.7,12.3,8.33,3.7,2024-09-06T15:00:00,2024-09-06T13:00:00,1725627600
Milan,IT,45.464,9.188,9,Europe/Rome,47,55.4,2024-09-06:12,2.0,102.0,12.0,8.0,4.0,2024-09-06T14:00:00,2024-09-06T12:00:00,1725624000
Milan,IT,45.464,9.188,9,Europe/Rome,45,56.4,2024-09-06:11,2.3,97.7,12.0,8.0,4.3,2024-09-06T13:00:00,2024-09-06T11:00:00,1725620400
Milan,IT,45.464,9.188,9,Europe/Rome,43,57.4,2024-09-06:10,2.7,93.3,12.0,8.0,4.7,2024-09-06T12:00:00,2024-09-06T10:00:00,1725616800
Milan,IT,45.464,9.188,9,Europe/Rome,41,58.4,2024-09-06:09,3.0,89.0,12.0,8.0,5.0,2024-09-06T11:00:00,2024-09-06T09:00:00,1725613200
Milan,IT,45.464,9.188,9,Europe/Rome,40,61.5,2024-09-06:08,4.7,77.3,14.3,9.67,7.0,2024-09-06T10:00:00,2024-09-06T08:00:00,1725609600
Milan,IT,45.464,9.188,9,Europe/Rome,47,64.6,2024-09-06:07,6.3,65.7,16.7,11.33,9.0,2024-09-06T09:00:00,2024-09-06T07:00:00,1725606000
Milan,IT,45.464,9.188,9,Europe/Rome,52,67.7,2024-09-06:06,8.0,54.0,19.0,13.0,11.0,2024-09-06T08:00:00,2024-09-06T06:00:00,1725602400
Milan,IT,45.464,9.188,9,Europe/Rome,52,66.3,2024-09-06:05,7.3,55.0,19.0,13.0,10.0,2024-09-06T07:00:00,2024-09-06T05:00:00,1725598800
