timestamp_local,aqi,co,no2,o3,pm10,pm25,so2,pm10_pm25_ratio,no2_o3_ratio,co_so2_ratio,timestamp_utc,ts,year,month,day,hour
2024-09-06 17:00:00,49,54.9,2.0,107.0,13.0,9.0,3.0,1.44,0.02,18.3,2024-09-06 15:00:00,1725634800,2024,9,6,17
2024-09-06 16:00:00,49,55.1,2.0,105.3,12.7,8.67,3.3,1.46,0.02,16.7,2024-09-06 14:00:00,1725631200,2024,9,6,16
2024-09-06 15:00:00,48,55.2,2.0,103.7,12.3,8.33,3.7,1.48,0.02,14.92,2024-09-06 13:00:00,1725627600,2024,9,6,15
2024-09-06 14:00:00,47,55.4,2.0,102.0,12.0,8.0,4.0,1.5,0.02,13.85,2024-09-06 12:00:00,1725624000,2024,9,6,14
2024-09-06 13:00:00,45,56.4,2.3,97.7,12.0,8.0,4.3,1.5,0.02,13.12,2024-09-06 11:00:00,1725620400,2024,9,6,13
2024-09-06 12:00:00,43,57.4,2.7,93.3,12.0,8.0,4.7,1.5,0.03,12.21,2024-09-06 10:00:00,1725616800,2024,9,6,12
2024-09-06 11:00:00,41,58.4,3.0,89.0,12.0,8.0,5.0,1.5,0.03,11.68,2024-09-06 09:00:00,1725613200,2024,9,6,11
2024-09-06 10:00:00,40,61.5,4.7,77.3,14.3,9.67,7.0,1.48,0.06,8.79,2024-09-06 08:00:00,1725609600,2024,9,6,10
2024-09-06 09:00:00,47,64.6,6.3,65.7,16.7,11.33,9.0,1.47,0.1,7.18,2024-09-06 07:00:00,1725606000,2024,9,6,9
2024-09-06 08:00:00,52,67.7,8.0,54.0,19.0,13.0,11.0,1.46,0.15,6.15,2024-09-06 06:00:00,1725602400,2024,9,6,8
2024-09-06 07:00:00,52,66.3,7.3,55.0,19.0,13.0,10.0,1.46,0.13,6.63,2024-09-06 05:00:00,1725598800,2024,9,6,7
2024-09-06 06:00:00,52,65.0,6.7,56.0,19.0,13.0,9.0,1.46,0.12,7.22,2024-09-06 04:00:00,1725595200,2024,9,6,6
2024-09-06 05:00:00,52,63.6,6.0,57.0,19.0,13.0,8.0,1.46,0.11,7.95,2024-09-06 03:00:00,1725591600,2024,9,6,5
2024-09-06 04:00:00,54,63.8,6.3,59.3,20.7,14.0,7.3,1.48,0.11,8.74,2024-09-06 02:00:00,1725588000,2024,9,6,4
2024-09-06 03:00:00,56,64.0,6.7,61.7,22.3,15.0,6.7,1.49,0.11,9.55,2024-09-06 01:00:00,1725584400,2024,9,6,3
2024-09-06 02:00:00,59,64.2,7.0,64.0,24.0,16.0,6.0,1.5,0.11,10.7,2024-09-06 00:00:00,1725580800,2024,9,6,2
2024-09-06 01:00:00,53,63.4,7.0,66.0,20.0,13.33,5.7,1.5,0.11,11.12,2024-09-05 23:00:00,1725577200,2024,9,6,1
2024-09-06 00:00:00,44,62.6,7.0,68.0,16.0,10.67,5.3,1.5,0.1,11.81,2024-09-05 22:00:00,1725573600,2024,9,6,0
2024-09-05 23:00:00,33,61.9,7.0,70.0,12.0,8.0,5.0,1.5,0.1,12.38,2024-09-05 21:00:00,1725570000,2024,9,5,23
2024-09-05 22:00:00,43,62.8,8.0,69.7,15.3,10.33,5.0,1.48,0.11,12.56,2024-09-05 20:00:00,1725566400,2024,9,5,22
2024-09-05 21:00:00,51,63.8,9.0,69.3,18.7,12.67,5.0,1.48,0.13,12.76,2024-09-05 19:00:00,1725562800,2024,9,5,21
2024-09-05 20:00:00,56,64.8,10.0,69.0,22.0,15.0,5.0,1.47,0.14,12.96,2024-09-05 18:00:00,1725559200,2024,9,5,20
2024-09-05 19:00:00,60,63.6,8.0,76.3,24.7,16.67,5.3,1.48,0.1,12.0,2024-09-05 17:00:00,1725555600,2024,9,5,19
2024-09-05 18:00:00,64,62.4,6.0,83.7,27.3,18.33,5.7,1.49,0.07,10.95,2024-09-05 16:00:00,1725552000,2024,9,5,18
2024-09-05 17:00:00,67,61.3,4.0,91.0,30.0,20.0,6.0,1.5,0.04,10.22,2024-09-05 15:00:00,1725548400,2024,9,5,17
2024-09-05 16:00:00,66,60.7,4.0,91.0,30.0,19.33,6.3,1.55,0.04,9.63,2024-09-05 14:00:00,1725544800,2024,9,5,16
2024-09-05 15:00:00,64,60.1,4.0,91.0,30.0,18.67,6.7,1.61,0.04,8.97,2024-09-05 13:00:00,1725541200,2024,9,5,15
2024-09-05 14:00:00,63,59.5,4.0,91.0,30.0,18.0,7.0,1.67,0.04,8.5,2024-09-05 12:00:00,1725537600,2024,9,5,14
2024-09-05 13:00:00,60,59.7,4.0,89.0,27.7,16.67,7.0,1.66,0.04,8.53,2024-09-05 11:00:00,1725534000,2024,9,5,13
2024-09-05 12:00:00,57,59.9,4.0,87.0,25.3,15.33,7.0,1.65,0.05,8.56,2024-09-05 10:00:00,1725530400,2024,9,5,12
2024-09-05 11:00:00,54,60.1,4.0,85.0,23.0,14.0,7.0,1.64,0.05,8.59,2024-09-05 09:00:00,1725526800,2024,9,5,11
2024-09-05 10:00:00,54,61.1,4.7,78.3,22.0,13.67,6.7,1.61,0.06,9.12,2024-09-05 08:00:00,1725523200,2024,9,5,10
2024-09-05 09:00:00,53,62.1,5.3,71.7,21.0,13.33,6.3,1.58,0.07,9.86,2024-09-05 07:00:00,1725519600,2024,9,5,9
2024-09-05 08:00:00,52,63.0,6.0,65.0,20.0,13.0,6.0,1.54,0.09,10.5,2024-09-05 06:00:00,1725516000,2024,9,5,8
2024-09-05 07:00:00,54,66.5,7.0,60.0,21.0,13.67,6.3,1.54,0.12,10.56,2024-09-05 05:00:00,1725512400,2024,9,5,7
2024-09-05 06:00:00,55,70.0,8.0,55.0,22.0,14.33,6.7,1.54,0.15,10.45,2024-09-05 04:00:00,1725508800,2024,9,5,6
2024-09-05 05:00:00,56,73.5,9.0,50.0,23.0,15.0,7.0,1.53,0.18,10.5,2024-09-05 03:00:00,1725505200,2024,9,5,5
2024-09-05 04:00:00,62,71.2,8.0,52.3,26.3,17.33,7.0,1.52,0.15,10.17,2024-09-05 02:00:00,1725501600,2024,9,5,4
2024-09-05 03:00:00,67,68.9,7.0,54.7,29.7,19.67,7.0,1.51,0.13,9.84,2024-09-05 01:00:00,1725498000,2024,9,5,3
2024-09-05 02:00:00,72,66.5,6.0,57.0,33.0,22.0,7.0,1.5,0.11,9.5,2024-09-05 00:00:00,1725494400,2024,9,5,2
2024-09-05 01:00:00,66,70.2,10.5,71.8,28.9,19.29,5.2,1.5,0.15,13.5,2024-09-04 23:00:00,1725490800,2024,9,5,1
2024-09-05 00:00:00,60,73.9,15.0,86.6,24.8,16.58,3.4,1.5,0.17,21.74,2024-09-04 22:00:00,1725487200,2024,9,5,0
2024-09-04 23:00:00,54,77.6,19.5,101.4,20.6,13.88,1.6,1.48,0.19,48.5,2024-09-04 21:00:00,1725483600,2024,9,4,23
2024-09-04 22:00:00,59,75.1,16.7,95.6,23.8,16.25,3.4,1.46,0.17,22.09,2024-09-04 20:00:00,1725480000,2024,9,4,22
2024-09-04 21:00:00,64,72.6,13.8,89.8,26.9,18.63,5.2,1.44,0.15,13.96,2024-09-04 19:00:00,1725476400,2024,9,4,21
2024-09-04 20:00:00,69,70.0,11.0,84.0,30.0,21.0,7.0,1.43,0.13,10.0,2024-09-04 18:00:00,1725472800,2024,9,4,20
2024-09-04 19:00:00,72,66.7,8.0,94.7,33.7,22.33,6.7,1.51,0.08,9.96,2024-09-04 17:00:00,1725469200,2024,9,4,19
2024-09-04 18:00:00,75,63.4,5.0,105.3,37.3,23.67,6.3,1.58,0.05,10.06,2024-09-04 16:00:00,1725465600,2024,9,4,18
2024-09-04 17:00:00,78,60.1,2.0,116.0,41.0,25.0,6.0,1.64,0.02,10.02,2024-09-04 15:00:00,1725462000,2024,9,4,17
2024-09-04 16:00:00,77,60.3,1.7,119.0,42.0,24.67,6.0,1.7,0.01,10.05,2024-09-04 14:00:00,1725458400,2024,9,4,16
2024-09-04 15:00:00,77,60.5,1.3,122.0,43.0,24.33,6.0,1.77,0.01,10.08,2024-09-04 13:00:00,1725454800,2024,9,4,15
2024-09-04 14:00:00,76,60.7,1.0,125.0,44.0,24.0,6.0,1.83,0.01,10.12,2024-09-04 12:00:00,1725451200,2024,9,4,14
2024-09-04 13:00:00,69,61.7,1.7,117.3,37.0,20.67,6.3,1.79,0.01,9.79,2024-09-04 11:00:00,1725447600,2024,9,4,13
2024-09-04 12:00:00,62,62.6,2.3,109.7,30.0,17.33,6.7,1.73,0.02,9.34,2024-09-04 10:00:00,1725444000,2024,9,4,12
2024-09-04 11:00:00,54,63.6,3.0,102.0,23.0,14.0,7.0,1.64,0.03,9.09,2024-09-04 09:00:00,1725440400,2024,9,4,11
2024-09-04 10:00:00,55,65.9,4.3,89.0,23.0,14.33,7.0,1.61,0.05,9.41,2024-09-04 08:00:00,1725436800,2024,9,4,10
2024-09-04 09:00:00,56,68.3,5.7,76.0,23.0,14.67,7.0,1.57,0.08,9.76,2024-09-04 07:00:00,1725433200,2024,9,4,9
2024-09-04 08:00:00,56,70.6,7.0,63.0,23.0,15.0,7.0,1.53,0.11,10.09,2024-09-04 06:00:00,1725429600,2024,9,4,8
2024-09-04 07:00:00,60,85.6,13.7,47.0,26.3,16.67,6.0,1.58,0.29,14.27,2024-09-04 05:00:00,1725426000,2024,9,4,7
2024-09-04 06:00:00,64,100.6,20.3,31.0,29.7,18.33,5.0,1.62,0.65,20.12,2024-09-04 04:00:00,1725422400,2024,9,4,6
2024-09-04 05:00:00,67,115.6,27.0,15.0,33.0,20.0,4.0,1.65,1.8,28.9,2024-09-04 03:00:00,1725418800,2024,9,4,5
2024-09-04 04:00:00,76,107.8,22.7,24.0,38.0,24.0,5.3,1.58,0.95,20.34,2024-09-04 02:00:00,1725415200,2024,9,4,4
2024-09-04 03:00:00,85,100.0,18.3,33.0,43.0,28.0,6.7,1.54,0.55,14.93,2024-09-04 01:00:00,1725411600,2024,9,4,3
2024-09-04 02:00:00,93,92.2,14.0,42.0,48.0,32.0,8.0,1.5,0.33,11.52,2024-09-04 00:00:00,1725408000,2024,9,4,2
2024-09-04 01:00:00,80,93.6,17.0,48.0,39.0,25.67,8.0,1.52,0.35,11.7,2024-09-03 23:00:00,1725404400,2024,9,4,1
2024-09-04 00:00:00,66,94.9,20.0,54.0,30.0,19.33,8.0,1.55,0.37,11.86,2024-09-03 22:00:00,1725400800,2024,9,4,0
2024-09-03 23:00:00,52,96.3,23.0,60.0,21.0,13.0,8.0,1.62,0.38,12.04,2024-09-03 21:00:00,1725397200,2024,9,3,23
2024-09-03 22:00:00,59,88.9,19.7,70.0,26.0,16.33,7.0,1.59,0.28,12.7,2024-09-03 20:00:00,1725393600,2024,9,3,22
2024-09-03 21:00:00,67,81.5,16.3,80.0,31.0,19.67,6.0,1.58,0.2,13.58,2024-09-03 19:00:00,1725390000,2024,9,3,21
2024-09-03 20:00:00,74,74.1,13.0,90.0,36.0,23.0,5.0,1.57,0.14,14.82,2024-09-03 18:00:00,1725386400,2024,9,3,20
2024-09-03 19:00:00,74,70.2,9.3,102.0,38.7,23.33,5.0,1.66,0.09,14.04,2024-09-03 17:00:00,1725382800,2024,9,3,19
2024-09-03 18:00:00,75,66.3,5.7,114.0,41.3,23.67,5.0,1.74,0.05,13.26,2024-09-03 16:00:00,1725379200,2024,9,3,18
2024-09-06 17:00:00,49,54.9,2.0,107.0,13.0,9.0,3.0,1.44,0.02,18.3,2024-09-06 15:00:00,1725634800,2024,9,6,17
2024-09-06 16:00:00,49,55.1,2.0,105.3,12.7,8.67,3.3,1.46,0.02,16.7,2024-09-06 14:00:00,1725631200,2024,9,6,16
2024-09-06 15:00:00,48,55.2,2.0,103.7,12.3,8.33,3.7,1.48,0.02,14.92,2024-09-06 13:00:00,1725627600,2024,9,6,15
2024-09-06 14:00:00,47,55.4,2.0,102.0,12.0,8.0,4.0,1.5,0.02,13.85,2024-09-06 12:00:00,1725624000,2024,9,6,14
2024-09-06 13:00:00,45,56.4,2.3,97.7,12.0,8.0,4.3,1.5,0.02,13.12,2024-09-06 11:00:00,1725620400,2024,9,6,13
2024-09-06 12:00:00,43,57.4,2.7,93.3,12.0,8.0,4.7,1.5,0.03,12.21,2024-09-06 10:00:00,1725616800,2024,9,6,12
2024-09-06 11:00:00,41,58.4,3.0,89.0,12.0,8.0,5.0,1.5,0.03,11.68,2024-09-06 09:00:00,1725613200,2024,9,6,11
2024-09-06 10:00:00,40,61.5,4.7,77.3,14.3,9.67,7.0,1.48,0.06,8.79,2024-09-06 08:00:00,1725609600,2024,9,6,10
2024-09-06 09:00:00,47,64.6,6.3,65.7,16.7,11.33,9.0,1.47,0.1,7.18,2024-09-06 07:00:00,1725606000,2024,9,6,9
2024-09-06 08:00:00,52,67.7,8.0,54.0,19.0,13.0,11.0,1.46,0.15,6.15,2024-09-06 06:00:00,1725602400,2024,9,6,8
2024-09-06 07:00:00,52,66.3,7.3,55.0,19.0,13.0,10.0,1.46,0.13,6.63,2024-09-06 05:00:00,1725598800,2024,9,6,7
2024-09-06 06:00:00,52,65.0,6.7,56.0,19.0,13.0,9.0,1.46,0.12,7.22,2024-09-06 04:00:00,1725595200,2024,9,6,6
2024-09-06 05:00:00,52,63.6,6.0,57.0,19.0,13.0,8.0,1.46,0.11,7.95,2024-09-06 03:00:00,1725591600,2024,9,6,5
2024-09-06 04:00:00,54,63.8,6.3,59.3,20.7,14.0,7.3,1.48,0.11,8.74,2024-09-06 02:00:00,1725588000,2024,9,6,4
2024-09-06 03:00:00,56,64.0,6.7,61.7,22.3,15.0,6.7,1.49,0.11,9.55,2024-09-06 01:00:00,1725584400,2024,9,6,3
2024-09-06 02:00:00,59,64.2,7.0,64.0,24.0,16.0,6.0,1.5,0.11,10.7,2024-09-06 00:00:00,1725580800,2024,9,6,2
2024-09-06 01:00:00,53,63.4,7.0,66.0,20.0,13.33,5.7,1.5,0.11,11.12,2024-09-05 23:00:00,1725577200,2024,9,6,1
2024-09-06 00:00:00,44,62.6,7.0,68.0,16.0,10.67,5.3,1.5,0.1,11.81,2024-09-05 22:00:00,1725573600,2024,9,6,0
2024-09-05 23:00:00,33,61.9,7.0,70.0,12.0,8.0,5.0,1.5,0.1,12.38,2024-09-05 21:00:00,1725570000,2024,9,5,23
2024-09-05 22:00:00,43,62.8,8.0,69.7,15.3,10.33,5.0,1.48,0.11,12.56,2024-09-05 20:00:00,1725566400,2024,9,5,22
2024-09-05 21:00:00,51,63.8,9.0,69.3,18.7,12.67,5.0,1.48,0.13,12.76,2024-09-05 19:00:00,1725562800,2024,9,5,21
2024-09-05 20:00:00,56,64.8,10.0,69.0,22.0,15.0,5.0,1.47,0.14,12.96,2024-09-05 18:00:00,1725559200,2024,9,5,20
2024-09-05 19:00:00,60,63.6,8.0,76.3,24.7,16.67,5.3,1.48,0.1,12.0,2024-09-05 17:00:00,1725555600,2024,9,5,19
2024-09-05 18:00:00,64,62.4,6.0,83.7,27.3,18.33,5.7,1.49,0.07,10.95,2024-09-05 16:00:00,1725552000,2024,9,5,18
2024-09-05 17:00:00,67,61.3,4.0,91.0,30.0,20.0,6.0,1.5,0.04,10.22,2024-09-05 15:00:00,1725548400,2024,9,5,17
2024-09-05 16:00:00,66,60.7,4.0,91.0,30.0,19.33,6.3,1.55,0.04,9.63,2024-09-05 14:00:00,1725544800,2024,9,5,16
2024-09-05 15:00:00,64,60.1,4.0,91.0,30.0,18.67,6.7,1.61,0.04,8.97,2024-09-05 13:00:00,1725541200,2024,9,5,15
2024-09-05 14:00:00,63,59.5,4.0,91.0,30.0,18.0,7.0,1.67,0.04,8.5,2024-09-05 12:00:00,1725537600,2024,9,5,14
2024-09-05 13:00:00,60,59.7,4.0,89.0,27.7,16.67,7.0,1.66,0.04,8.53,2024-09-05 11:00:00,1725534000,2024,9,5,13
2024-09-05 12:00:00,57,59.9,4.0,87.0,25.3,15.33,7.0,1.65,0.05,8.56,2024-09-05 10:00:00,1725530400,2024,9,5,12
2024-09-05 11:00:00,54,60.1,4.0,85.0,23.0,14.0,7.0,1.64,0.05,8.59,2024-09-05 09:00:00,1725526800,2024,9,5,11
2024-09-05 10:00:00,54,61.1,4.7,78.3,22.0,13.67,6.7,1.61,0.06,9.12,2024-09-05 08:00:00,1725523200,2024,9,5,10
2024-09-05 09:00:00,53,62.1,5.3,71.7,21.0,13.33,6.3,1.58,0.07,9.86,2024-09-05 07:00:00,1725519600,2024,9,5,9
2024-09-05 08:00:00,52,63.0,6.0,65.0,20.0,13.0,6.0,1.54,0.09,10.5,2024-09-05 06:00:00,1725516000,2024,9,5,8
